127.0.0.1, 2018-04-24 22:55:05, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-24 22:55:05, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-24 22:55:05, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-24 22:55:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:55:07, GET, /start/default/user/register, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-04-24 22:55:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:55:21, POST, /start/default/user/register, HTTP/1.1, 303, 0.041000
127.0.0.1, 2018-04-24 22:55:21, GET, /start/default/index, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-04-24 22:55:21, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-24 22:55:23, GET, /start/default/add, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-04-24 22:55:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:55:28, POST, /start/default/add, HTTP/1.1, 303, 0.027000
127.0.0.1, 2018-04-24 22:55:28, GET, /start/default/index, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-04-24 22:55:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:55:30, GET, /start/default/delete/1, HTTP/1.1, 303, 0.027000
127.0.0.1, 2018-04-24 22:55:30, GET, /start/default/index, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-04-24 22:55:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:55:32, GET, /start/default/add, HTTP/1.1, 200, 0.076000
127.0.0.1, 2018-04-24 22:55:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:55:37, POST, /start/default/add, HTTP/1.1, 303, 0.027000
127.0.0.1, 2018-04-24 22:55:37, GET, /start/default/index, HTTP/1.1, 200, 0.027000
